run_id,scenario_type,vus,duration_sec,http_req_total,p50_ms,p90_ms,p95_ms,p99_ms,mean_ms,std_dev_ms,ci95_lower,ci95_upper,error_rate
1,cache_cold,50,30,1480,210.4,380.2,420.5,490.1,230.1,45.2,227.8,232.4,0.00
2,cache_cold,50,30,1520,205.1,375.4,415.8,485.6,225.4,42.8,223.2,227.6,0.00
3,cache_cold,50,30,1495,208.6,378.1,418.2,488.3,228.0,44.1,225.8,230.2,0.00
4,cache_cold,50,30,1510,202.9,372.9,412.4,482.0,222.7,41.9,220.6,224.8,0.00
5,cache_cold,50,30,1505,206.3,376.5,416.0,486.2,226.1,43.5,223.9,228.3,0.00
1,cache_hot,50,30,4850,22.4,45.8,78.2,112.5,28.6,12.4,28.3,28.9,0.00
2,cache_hot,50,30,4920,21.8,44.2,75.6,108.9,27.9,11.8,27.6,28.2,0.00
3,cache_hot,50,30,4880,22.1,45.0,77.1,110.4,28.2,12.1,27.9,28.5,0.00
4,cache_hot,50,30,4950,21.5,43.8,74.9,107.8,27.5,11.5,27.2,27.8,0.00
5,cache_hot,50,30,4910,21.9,44.5,76.4,109.6,28.0,11.9,27.7,28.3,0.00
