ReqID,Type,Description,Module,TestFile,Status,tipo_acceso,sql_file
RF-01,FUNC,Autenticación JWT,Backend,AuthServiceTest.java,IMPLEMENTED,CRUD-ORM,
RF-02,FUNC,Gestión de Escenarios,Backend,EscenarioControllerTest.java,IMPLEMENTED,CRUD-ORM,
RF-03,FUNC,Inicio Simulación,Backend,SimulacionServiceTest.java,IN_PROGRESS,SP,db/procs/sp_validar_simulacion.sql
RF-04,FUNC,Métricas de Desempeño,Backend,MetricaRepositoryTest.java,PENDING,SP,db/procs/sp_calcular_puntaje.sql
RNF-01,PERF,Tiempo de respuesta < 2s,API,k6/opts.js,IMPLEMENTED,,
RNF-02,SEC,Contraseñas en BCrypt,Database,schema.sql,IMPLEMENTED,,
US-01,USER,Registro Conductor,Frontend,registro.component.spec.ts,IMPLEMENTED,CRUD-ORM,
US-02,USER,Inicio de Sesión,Frontend,login.component.spec.ts,IMPLEMENTED,CRUD-ORM,
US-03,USER,Listar Escenarios,Frontend,escenario-list.component.spec.ts,IMPLEMENTED,CRUD-ORM,
US-04,USER,Iniciar Simulación,Frontend,simulador.component.spec.ts,IN_PROGRESS,SP,db/procs/sp_validar_simulacion.sql
